Leikdagur,Heimalið,Útilið,Völlur,h_mörk,h_xG,h_pos,h_passesCompleted,h_passes,h_shots,h_shotsOnTarget,h_shotsOutsideBox,a_mörk,a_xG,a_pos,a_passesCompleted,a_passes,a_shots,a_shotsOnTarget,a_shotsOutsideBox
18.04.2022 19:15,Víkingur R.,FH,Víkingsvöllur,,,,,,,,,,,,,,,,
19.04.2022 18:00,Valur,ÍBV,Origo völlurinn,,,,,,,,,,,,,,,,
19.04.2022 19:15,Stjarnan,ÍA,Samsungvöllurinn,,,,,,,,,,,,,,,,
19.04.2022 19:45,Breiðablik,Keflavík,Kópavogsvöllur,,,,,,,,,,,,,,,,
20.04.2022 18:00,KA,Leiknir R.,Dalvíkurvöllur,,,,,,,,,,,,,,,,
20.04.2022 19:15,Fram,KR,Framvöllur,,,,,,,,,,,,,,,,
24.04.2022 14:00,ÍBV,KA,Hásteinsvöllur,,,,,,,,,,,,,,,,
24.04.2022 16:00,Leiknir R.,Stjarnan,Domusnovavöllurinn,,,,,,,,,,,,,,,,
24.04.2022 18:00,ÍA,Víkingur R.,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
24.04.2022 18:00,Keflavík,Valur,HS Orku völlurinn,,,,,,,,,,,,,,,,
25.04.2022 18:00,FH,Fram,Kaplakrikavöllur,,,,,,,,,,,,,,,,
25.04.2022 18:00,KR,Breiðablik,Meistaravellir,,,,,,,,,,,,,,,,
28.04.2022 19:15,Víkingur R.,Keflavík,Víkingsvöllur,,,,,,,,,,,,,,,,
30.04.2022 19:15,Valur,KR,Origo völlurinn,,,,,,,,,,,,,,,,
01.05.2022 16:00,ÍBV,Leiknir R.,Hásteinsvöllur,,,,,,,,,,,,,,,,
01.05.2022 19:15,Breiðablik,FH,Kópavogsvöllur,,,,,,,,,,,,,,,,
02.05.2022 18:00,KA,Keflavík,Greifavöllurinn,,,,,,,,,,,,,,,,
02.05.2022 19:15,Víkingur R.,Stjarnan,Víkingsvöllur,,,,,,,,,,,,,,,,
02.05.2022 19:15,Fram,ÍA,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
06.05.2022 19:15,FH,Valur,Kaplakrikavöllur,,,,,,,,,,,,,,,,
07.05.2022 14:00,ÍA,Breiðablik,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
07.05.2022 16:00,Keflavík,ÍBV,HS Orku völlurinn,,,,,,,,,,,,,,,,
07.05.2022 16:15,Stjarnan,Fram,Samsungvöllurinn,,,,,,,,,,,,,,,,
07.05.2022 16:15,KR,KA,Meistaravellir,,,,,,,,,,,,,,,,
08.05.2022 16:30,Leiknir R.,Víkingur R.,Domusnovavöllurinn,,,,,,,,,,,,,,,,
11.05.2022 18:00,ÍBV,KR,Hásteinsvöllur,,,,,,,,,,,,,,,,
11.05.2022 18:00,KA,FH,Greifavöllurinn,,,,,,,,,,,,,,,,
11.05.2022 19:15,Valur,ÍA,Origo völlurinn,,,,,,,,,,,,,,,,
11.05.2022 19:15,Breiðablik,Stjarnan,Kópavogsvöllur,,,,,,,,,,,,,,,,
12.05.2022 19:15,Keflavík,Leiknir R.,HS Orku völlurinn,,,,,,,,,,,,,,,,
12.05.2022 19:15,Víkingur R.,Fram,Víkingsvöllur,,,,,,,,,,,,,,,,
15.05.2022 14:00,FH,ÍBV,Kaplakrikavöllur,,,,,,,,,,,,,,,,
15.05.2022 17:00,ÍA,KA,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
15.05.2022 19:15,Stjarnan,Valur,Samsungvöllurinn,,,,,,,,,,,,,,,,
16.05.2022 19:15,Víkingur R.,Breiðablik,Víkingsvöllur,,,,,,,,,,,,,,,,
16.05.2022 19:15,KR,Keflavík,Meistaravellir,,,,,,,,,,,,,,,,
16.05.2022 19:15,Leiknir R.,Fram,Domusnovavöllurinn,,,,,,,,,,,,,,,,
21.05.2022 16:00,ÍBV,ÍA,Hásteinsvöllur,,,,,,,,,,,,,,,,
21.05.2022 16:00,KA,Stjarnan,Greifavöllurinn,,,,,,,,,,,,,,,,
21.05.2022 19:15,Valur,Víkingur R.,Origo völlurinn,,,,,,,,,,,,,,,,
22.05.2022 17:00,Keflavík,FH,HS Orku völlurinn,,,,,,,,,,,,,,,,
22.05.2022 19:15,KR,Leiknir R.,Meistaravellir,,,,,,,,,,,,,,,,
22.05.2022 19:15,Breiðablik,Fram,Kópavogsvöllur,,,,,,,,,,,,,,,,
29.05.2022 16:30,Víkingur R.,KA,Víkingsvöllur,,,,,,,,,,,,,,,,
29.05.2022 17:00,ÍA,Keflavík,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
29.05.2022 17:00,Stjarnan,ÍBV,Samsungvöllurinn,,,,,,,,,,,,,,,,
29.05.2022 19:15,Leiknir R.,Breiðablik,Domusnovavöllurinn,,,,,,,,,,,,,,,,
29.05.2022 19:15,Fram,Valur,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
29.05.2022 19:15,FH,KR,Kaplakrikavöllur,,,,,,,,,,,,,,,,
15.06.2022 18:00,ÍBV,Víkingur R.,Hásteinsvöllur,,,,,,,,,,,,,,,,
15.06.2022 19:15,KR,ÍA,Meistaravellir,,,,,,,,,,,,,,,,
16.06.2022 18:00,KA,Fram,Greifavöllurinn,,,,,,,,,,,,,,,,
16.06.2022 19:15,FH,Leiknir R.,Kaplakrikavöllur,,,,,,,,,,,,,,,,
16.06.2022 19:15,Keflavík,Stjarnan,HS Orku völlurinn,,,,,,,,,,,,,,,,
16.06.2022 19:15,Valur,Breiðablik,Origo völlurinn,,,,,,,,,,,,,,,,
20.06.2022 18:00,Fram,ÍBV,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
20.06.2022 19:15,Stjarnan,KR,Samsungvöllurinn,,,,,,,,,,,,,,,,
20.06.2022 19:15,Breiðablik,KA,Kópavogsvöllur,,,,,,,,,,,,,,,,
21.06.2022 18:00,Valur,Leiknir R.,Origo völlurinn,,,,,,,,,,,,,,,,
21.06.2022 19:15,ÍA,FH,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
23.06.2022 19:15,Breiðablik,KR,Kópavogsvöllur,,,,,,,,,,,,,,,,
02.07.2022 16:00,ÍBV,Breiðablik,Hásteinsvöllur,,,,,,,,,,,,,,,,
02.07.2022 16:00,KR,Víkingur R.,Meistaravellir,,,,,,,,,,,,,,,,
03.07.2022 19:15,Keflavík,Fram,HS Orku völlurinn,,,,,,,,,,,,,,,,
04.07.2022 18:00,KA,Valur,Greifavöllurinn,,,,,,,,,,,,,,,,
04.07.2022 19:15,FH,Stjarnan,Kaplakrikavöllur,,,,,,,,,,,,,,,,
04.07.2022 19:15,Leiknir R.,ÍA,Domusnovavöllurinn,,,,,,,,,,,,,,,,
09.07.2022 14:00,KA,ÍBV,Greifavöllurinn,,,,,,,,,,,,,,,,
09.07.2022 16:00,Víkingur R.,ÍA,Víkingsvöllur,,,,,,,,,,,,,,,,
11.07.2022 19:15,Valur,Keflavík,Origo völlurinn,,,,,,,,,,,,,,,,
11.07.2022 19:15,Stjarnan,Leiknir R.,Samsungvöllurinn,,,,,,,,,,,,,,,,
11.07.2022 19:15,Fram,FH,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
16.07.2022 17:00,FH,Víkingur R.,Kaplakrikavöllur,,,,,,,,,,,,,,,,
17.07.2022 16:00,ÍBV,Valur,Hásteinsvöllur,,,,,,,,,,,,,,,,
17.07.2022 17:00,Leiknir R.,KA,Domusnovavöllurinn,,,,,,,,,,,,,,,,
17.07.2022 19:15,Keflavík,Breiðablik,HS Orku völlurinn,,,,,,,,,,,,,,,,
17.07.2022 19:15,KR,Fram,Meistaravellir,,,,,,,,,,,,,,,,
17.07.2022 19:15,ÍA,Stjarnan,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
24.07.2022 14:00,Leiknir R.,ÍBV,Domusnovavöllurinn,,,,,,,,,,,,,,,,
24.07.2022 17:00,Keflavík,KA,HS Orku völlurinn,,,,,,,,,,,,,,,,
24.07.2022 19:15,Stjarnan,Víkingur R.,Samsungvöllurinn,,,,,,,,,,,,,,,,
24.07.2022 19:15,FH,Breiðablik,Kaplakrikavöllur,,,,,,,,,,,,,,,,
25.07.2022 19:15,ÍA,Fram,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
25.07.2022 19:15,KR,Valur,Meistaravellir,,,,,,,,,,,,,,,,
30.07.2022 14:00,ÍBV,Keflavík,Hásteinsvöllur,,,,,,,,,,,,,,,,
02.08.2022 18:00,KA,KR,Greifavöllurinn,,,,,,,,,,,,,,,,
02.08.2022 19:15,Breiðablik,ÍA,Kópavogsvöllur,,,,,,,,,,,,,,,,
03.08.2022 19:15,Valur,FH,Origo völlurinn,,,,,,,,,,,,,,,,
03.08.2022 19:15,Fram,Stjarnan,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
07.08.2022 17:00,FH,KA,Kaplakrikavöllur,,,,,,,,,,,,,,,,
07.08.2022 17:00,KR,ÍBV,Meistaravellir,,,,,,,,,,,,,,,,
07.08.2022 19:15,Fram,Víkingur R.,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
